Zoom In,Ctrl+=,Text Editing,Editing Text
Zoom In,Ctrl+=,View,In Windows
Quick Fix,Ctrl+1,Edit,In Dialogs and Windows
Quick Assist - Assign to var,Ctrl+2 F,Source,Editing JavaScript Source
Quick Assist - Assign to local variable,Ctrl+2 L,Source,Editing JavaScript Source
Quick Assist - Assign to local variable,Ctrl+2 L,Source,Editing PHP source
Quick Assist - Rename in file,Ctrl+2 R,Source,Editing JavaScript Source
Quick Access,Ctrl+3,Window,In Windows
Toggle Comment,Ctrl+7,Edit,Editing PHP source
Toggle Comment,Ctrl+7,Script Source,Editing Script Source
Toggle Comment,Ctrl+7,Source,Editing JavaScript Source
Select All,Ctrl+A,Edit,In Dialogs and Windows
Skip All Breakpoints,Ctrl+Alt+B,Run/Debug,In Windows
Debug,Ctrl+Alt+D,Server,In Servers View
Copy Lines,Ctrl+Alt+Down,Text Editing,Editing Text
Find Text in Workspace,Ctrl+Alt+G,Search,In Windows
Open Call Hierarchy,Ctrl+Alt+H,Navigate,DLTK View
Open Call Hierarchy,Ctrl+Alt+H,Navigate,Editing PHP source
Open Call Hierarchy,Ctrl+Alt+H,Navigate,Editing Script Source
Open Call Hierarchy,Ctrl+Alt+H,Navigate,JavaScript View
Join Lines,Ctrl+Alt+J,Text Editing,Editing Text
Add Memory Block,Ctrl+Alt+M,Run/Debug,In Memory View
Next Memory Monitor,Ctrl+Alt+N,Run/Debug,In Memory View
Publish,Ctrl+Alt+P,Server,In Servers View
Run,Ctrl+Alt+R,Server,In Servers View
Stop,Ctrl+Alt+S,Server,In Servers View
Show Source Quick Menu,Ctrl+Alt+S,Source,DLTK View
Show Source Quick Menu,Ctrl+Alt+S,Source,Editing PHP source
Show Refactor Quick Menu,Ctrl+Alt+T,Source,DLTK View
Show Refactor Quick Menu,Ctrl+Alt+T,Source,Editing PHP source
Open Local Terminal on Selection,Ctrl+Alt+T,Terminal Commands,In Windows
Duplicate Lines,Ctrl+Alt+Up,Text Editing,Editing Text
Build All,Ctrl+B,Project,In Windows
Delete Previous Word,Ctrl+Backspace,Text Editing,Editing Text
Copy,Ctrl+C,Edit,In Dialogs and Windows
Copy Path to Clipboard,Ctrl+C,Git,In Git Repositories View
Copy Commit Id,Ctrl+C,Uncategorized,In Git Reflog View
EOF,Ctrl+D,Run/Debug,In I/O Console
Delete Line,Ctrl+D,Text Editing,Editing Text
Delete Next Word,Ctrl+Delete,Text Editing,Editing Text
Scroll Line Down,Ctrl+Down,Text Editing,Editing Text
Quick Switch Editor,Ctrl+E,Window,In Windows
Text End,Ctrl+End,Text Editing,Editing Text
JavaScript Breakpoint Properties,Ctrl+Enter,JavaScript Debug,In Breakpoints View
Open Selected Task,Ctrl+Enter,Task Repositories,In Tasks View
Find and Replace,Ctrl+F,Edit,In Windows
Show Ruler Context Menu,Ctrl+F10,Window,Editing Text
Show View Menu,Ctrl+F10,Window,In Dialogs and Windows
Run,Ctrl+F11,Run/Debug,In Windows
Open Task,Ctrl+F12,Navigate,In Windows
Terminate,Ctrl+F2,Run/Debug,Debugging
Open Structure,Ctrl+F3,Navigate,Editing JavaScript Source
Close,Ctrl+F4,File,In Windows
Next Editor,Ctrl+F6,Window,In Windows
Next View,Ctrl+F7,Window,In Windows
Next Perspective,Ctrl+F8,Window,In Windows
Activate Task,Ctrl+F9,Navigate,In Windows
Go to Address,Ctrl+G,Run/Debug,In Table Memory Rendering
Declaration in Workspace,Ctrl+G,Search,JavaScript View
Open Search Dialog,Ctrl+H,Search,In Windows
Text Start,Ctrl+Home,Text Editing,Editing Text
Format Active Elements,Ctrl+I,Edit,Editing in Structured Text Editors
Format Active Elements,Ctrl+I,Edit,Editing PHP source
Correct &Indentation,Ctrl+I,Script Source,Editing Script Source
Indent Line,Ctrl+I,Source,Editing JavaScript Source
Copy,Ctrl+Insert,Edit,In Dialogs and Windows
Copy,Ctrl+Insert,Terminal view commands,Terminal Control in Focus
Incremental Find,Ctrl+J,Edit,Editing Text
Find Next,Ctrl+K,Edit,Editing Text
Go to Line,Ctrl+L,Navigate,Editing Text
Previous Word,Ctrl+Left,Text Editing,Editing Text
Maximize Active View or Editor,Ctrl+M,Window,In Windows
New,Ctrl+N,File,DLTK View
New,Ctrl+N,File,Editing PHP source
New,Ctrl+N,File,In Windows
New Rendering,Ctrl+N,Run/Debug,In Memory View
Expand,Ctrl+Numpad_Add,Text Editing,Editing Text
Toggle Folding,Ctrl+Numpad_Divide,Text Editing,Editing Text
Expand All,Ctrl+Numpad_Multiply,Text Editing,Editing Text
Collapse,Ctrl+Numpad_Subtract,Text Editing,Editing Text
Quick Outline,Ctrl+O,Navigate,Editing in Structured Text Editors
Quick Outline,Ctrl+O,Navigate,Editing JavaScript Source
Quick Outline,Ctrl+O,Navigate,Editing PHP source
Quick Outline,Ctrl+O,Navigate,Editing Script Source
Quick Outline,Ctrl+O,Navigate,WikiText Markup Source Context
Quick Outline,Ctrl+O,Task Repositories,In Tasks Editor
Print,Ctrl+P,File,In Windows
Next Tab,Ctrl+PageDown,Navigate,In Dialogs and Windows
Previous Tab,Ctrl+PageUp,Navigate,In Dialogs and Windows
Last Edit Location,Ctrl+Q,Navigate,In Windows
Run to Line,Ctrl+R,Run/Debug,Debugging
Next Word,Ctrl+Right,Text Editing,Editing Text
Save,Ctrl+S,File,In Windows
Content Assist,Ctrl+Space,Edit,In Dialogs and Windows
Quick Hierarchy,Ctrl+T,Navigate,Editing JavaScript Source
Quick Hierarchy,Ctrl+T,Navigate,Editing PHP source
Quick Hierarchy,Ctrl+T,Navigate,Editing Script Source
Toggle Memory Monitors Pane,Ctrl+T,Run/Debug,In Memory View
Next Editor,Ctrl+Tab,Window,In Windows
Scroll Line Up,Ctrl+Up,Text Editing,Editing Text
Paste,Ctrl+V,Edit,In Dialogs and Windows
Paste Repository Path or URI,Ctrl+V,Git,In Git Repositories View
Close,Ctrl+W,File,In Windows
Close Rendering,Ctrl+W,Run/Debug,In Memory View
Cut,Ctrl+X,Edit,In Dialogs and Windows
Undo,Ctrl+Z,Edit,In Dialogs and Windows
Delete,Delete,Edit,In Windows
Line End,End,Text Editing,Editing Text
Toggle Comment,Esc Ctrl+C,Source,Editing JavaScript Source
Format,Esc Ctrl+F,Script Source,Editing Script Source
Format,Esc Ctrl+F,Source,Editing JavaScript Source
Show Markup Cheat Sheet,F1,Uncategorized,WikiText Markup Source Context
Debug,F11,Run/Debug,In Windows
Activate Editor,F12,Window,In Windows
Show Tooltip Description,F2,Edit,Editing PHP source
Rename,F2,File,In Windows
Show Tooltip Description,F2,Text Editing,Editing Text
Open Selection,F3,Edit,Editing in Structured Text Editors
Open Selection,F3,Navigate,DLTK View
Open Selection,F3,Navigate,Editing PHP source
Open Declaration,F3,Navigate,Editing Script Source
Open Declaration,F3,Navigate,JavaScript View
Open Hyperlink,F3,Text Editing,in Generic Code Editor
Open Type Hierarchy,F4,Navigate,DLTK View
Open Type Hierarchy,F4,Navigate,Editing PHP source
Open Type Hierarchy,F4,Navigate,Editing Script Source
Open Type Hierarchy,F4,Navigate,JavaScript View
Show Tooltip Description,F4,Task Repositories,In Tasks View
Refresh,F5,File,In Windows
Step Into,F5,Run/Debug,Debugging
Step Over,F6,Run/Debug,Debugging
Step Return,F7,Run/Debug,Debugging
Resume,F8,Run/Debug,Debugging
Line Start,Home,Text Editing,Editing Text
New Local Task,Insert,Task Repositories,In Tasks View
Toggle Overwrite,Insert,Text Editing,Editing Text
Toggle Block Selection,Shift+Alt+A,Edit,Editing Text
Change Function Signature,Shift+Alt+C,Refactor - JavaScript,JavaScript View
Mark Task Complete,Shift+Alt+C,Task Repositories,In Tasks Editor
Mark Task Complete,Shift+Alt+C,Task Repositories,In Tasks View
Debug CLI Application,Shift+Alt+D H,Run/Debug,In Windows
Debug on Server,Shift+Alt+D R,Run/Debug,In Windows
Debug PHPUnit Test,Shift+Alt+D U,Run/Debug,In Windows
Debug PHP Web Application,Shift+Alt+D W,Run/Debug,In Windows
Restore Last Selection,Shift+Alt+Down,Edit,Editing in Structured Text Editors
Restore Last Selection,Shift+Alt+Down,Edit,Editing JavaScript Source
Restore Last Selection,Shift+Alt+Down,Edit,Editing PHP source
Mark Task Read and Go To Next Unread Task,Shift+Alt+Down,Task Repositories,In Tasks View
Evaluate,Shift+Alt+E,JavaScript Debug,Editing JavaScript Source
Show Contributing Plug-in,Shift+Alt+F3,Window,In Dialogs and Windows
Previous Page,Shift+Alt+F7,Navigate,In Windows
Focus on Active Task,Shift+Alt+H,Focused UI,In Windows
Inline,Shift+Alt+I,Refactor - JavaScript,JavaScript View
Mark Task Incomplete,Shift+Alt+I,Task Repositories,In Tasks Editor
Mark Task Incomplete,Shift+Alt+I,Task Repositories,In Tasks View
Generate Element Comment,Shift+Alt+J,Edit,Editing PHP source
Add Javadoc Comment,Shift+Alt+J,Script Source,Editing Script Source
Add JSDoc Comment,Shift+Alt+J,Source,JavaScript View
Extract Local Variable,Shift+Alt+L,Refactor - JavaScript,JavaScript View
Extract Variable,Shift+Alt+L,Refactor - PHP,DLTK View
Extract Variable,Shift+Alt+L,Refactor - PHP,Editing PHP source
Select Previous Element,Shift+Alt+Left,Edit,Editing in Structured Text Editors
Select Previous Element,Shift+Alt+Left,Edit,Editing JavaScript Source
Select Previous Element,Shift+Alt+Left,Edit,Editing PHP source
Extract Function,Shift+Alt+M,Refactor - JavaScript,JavaScript View
Extract Variable,Shift+Alt+M,Refactor - PHP,DLTK View
Extract Variable,Shift+Alt+M,Refactor - PHP,Editing PHP source
New menu,Shift+Alt+N,File,In Windows
Toggle Mark Occurrences,Shift+Alt+O,Source,Editing JavaScript Source
Mark Occurrences,Shift+Alt+O,Source,Editing PHP source
Show View (Breakpoints),Shift+Alt+Q B,Views,In Windows
Show View (Console),Shift+Alt+Q C,Views,In Windows
JavaScript Declaration,Shift+Alt+Q D,Views,JavaScript View
Show View (Cheat Sheets),Shift+Alt+Q H,Views,In Windows
Documentation,Shift+Alt+Q J,Views,JavaScript View
Show View (Task List),Shift+Alt+Q K,Views,In Windows
Show View (Error Log),Shift+Alt+Q L,Views,In Windows
Show View (Outline),Shift+Alt+Q O,Views,In Windows
JavaScript Script Explorer,Shift+Alt+Q P,Views,JavaScript View
Show View,Shift+Alt+Q Q,Views,In Windows
Show View (Search),Shift+Alt+Q S,Views,In Windows
JavaScript Type Hierarchy,Shift+Alt+Q T,Views,JavaScript View
Show View (Variables),Shift+Alt+Q V,Views,In Windows
Show View (Problems),Shift+Alt+Q X,Views,In Windows
Show View (Synchronize),Shift+Alt+Q Y,Views,In Windows
Show View (History),Shift+Alt+Q Z,Views,In Windows
Rename - Refactoring,Shift+Alt+R,Refactor - DLTK,DLTK View
Rename - Refactoring,Shift+Alt+R,Refactor - DLTK,Editing PHP source
Rename - Refactoring,Shift+Alt+R,Refactor - DLTK,Editing Script Source
Rename - Refactoring,Shift+Alt+R,Refactor - JavaScript,JavaScript View
Mark Task Read,Shift+Alt+R,Task Repositories,In Tasks Editor
Mark Task Read,Shift+Alt+R,Task Repositories,In Tasks View
Select Next Element,Shift+Alt+Right,Edit,Editing in Structured Text Editors
Select Next Element,Shift+Alt+Right,Edit,Editing JavaScript Source
Select Next Element,Shift+Alt+Right,Edit,Editing PHP source
Show Source Quick Menu,Shift+Alt+S,Source,JavaScript View
Submit Task,Shift+Alt+S,Task Editor,In Tasks Editor
Show Refactor Quick Menu,Shift+Alt+T,Refactor - DLTK,DLTK View
Show Refactor Quick Menu,Shift+Alt+T,Refactor - DLTK,Editing Script Source
Show Refactor Quick Menu,Shift+Alt+T,Refactor - JavaScript,JavaScript View
Remove Occurrence Annotations,Shift+Alt+U,Source,Editing JavaScript Source
Mark Task Unread,Shift+Alt+U,Task Repositories,In Tasks Editor
Mark Task Unread,Shift+Alt+U,Task Repositories,In Tasks View
Select Enclosing Element,Shift+Alt+Up,Edit,Editing in Structured Text Editors
Select Enclosing Element,Shift+Alt+Up,Edit,Editing JavaScript Source
Select Enclosing Element,Shift+Alt+Up,Edit,Editing PHP source
Mark Task Read and Go To Previous Unread Task,Shift+Alt+Up,Task Repositories,In Tasks View
Move - Refactoring,Shift+Alt+V,Refactor - JavaScript,JavaScript View
Move - Refactoring,Shift+Alt+V,Refactor - PHP,DLTK View
Move - Refactoring,Shift+Alt+V,Refactor - PHP,Editing PHP source
Show In...,Shift+Alt+W,Navigate,In Windows
Run CLI Application,Shift+Alt+X H,Run/Debug,In Windows
Run on Server,Shift+Alt+X R,Run/Debug,In Windows
Run PHPUnit Test,Shift+Alt+X U,Run/Debug,In Windows
Run PHP Web Application,Shift+Alt+X W,Run/Debug,In Windows
Toggle Word Wrap,Shift+Alt+Y,Edit,Editing Text
Surround With Quick Menu,Shift+Alt+Z,Source,JavaScript View
Previous Page of Memory,Shift+Ctrl+,Run/Debug,
Next Page of Memory,Shift+Ctrl+.,Run/Debug,In Table Memory Rendering
Add Block Comment,Shift+Ctrl+/,Edit,Editing in Structured Text Editors
Add Block Comment,Shift+Ctrl+/,Source,Editing JavaScript Source
Remove Block Comment,Shift+Ctrl+\,Edit,Editing in Structured Text Editors
Remove Block Comment,Shift+Ctrl+\,Source,Editing JavaScript Source
Matching Tag,Shift+Ctrl+>,Edit,Editing in Structured Text Editors
Open Source,Shift+Ctrl+3,JavaScript Debug,Debugging
Occurrences in File,Shift+Ctrl+A,Edit,Editing in Structured Text Editors
Make Less Interesting,Shift+Ctrl+Alt+Down,Focused UI,In Windows
Open Remote Task,Shift+Ctrl+Alt+F12,Navigate,In Windows
Show Context Quick View,Shift+Ctrl+Alt+Right,Focused UI,In Windows
Open Local Terminal on Selection,Shift+Ctrl+Alt+T,Terminal Commands,In Windows
Make Landmark,Shift+Ctrl+Alt+Up,Focused UI,In Windows
Toggle Breakpoint,Shift+Ctrl+B,Run/Debug,In Windows
Toggle Comment,Shift+Ctrl+C,Edit,Editing in Structured Text Editors
Toggle Comment,Shift+Ctrl+C,Edit,Editing PHP source
Toggle Comment,Shift+Ctrl+C,Script Source,Editing Script Source
Toggle Comment,Shift+Ctrl+C,Source,Editing JavaScript Source
Copy,Shift+Ctrl+C,Terminal view commands,Terminal Control in Focus
Display,Shift+Ctrl+D,Run/Debug,Debugging Script
Delete to End of Line,Shift+Ctrl+Delete,Text Editing,Editing Text
Next Sibling,Shift+Ctrl+Down,Edit,Editing in Structured Text Editors
Go to Next Member,Shift+Ctrl+Down,Navigate,Editing JavaScript Source
Go to Next Member,Shift+Ctrl+Down,Navigate,Editing Script Source
Switch to Editor,Shift+Ctrl+E,Window,In Windows
Insert Line Above Current Line,Shift+Ctrl+Enter,Text Editing,Editing Text
Format,Shift+Ctrl+F,Edit,Editing in Structured Text Editors
Format,Shift+Ctrl+F,Edit,Editing PHP source
Format,Shift+Ctrl+F,Script Source,Editing Script Source
Format,Shift+Ctrl+F,Source,Editing JavaScript Source
Search Repository for Task,Shift+Ctrl+F12,Navigate,In Windows
Close All,Shift+Ctrl+F4,File,In Windows
Previous Editor,Shift+Ctrl+F6,Window,In Windows
Previous View,Shift+Ctrl+F7,Window,In Windows
Previous Perspective,Shift+Ctrl+F8,Window,In Windows
Deactivate Task,Shift+Ctrl+F9,Navigate,In Windows
References in Workspace,Shift+Ctrl+G,Search,Editing PHP source
References in Workspace,Shift+Ctrl+G,Search,Editing Script Source
References in Workspace,Shift+Ctrl+G,Search,JavaScript View
Find References,Shift+Ctrl+G,Uncategorized,in Generic Code Editor
Open Type in Hierarchy,Shift+Ctrl+H,Navigate,DLTK View
Open Type in Hierarchy,Shift+Ctrl+H,Navigate,Editing PHP source
Open Type in Hierarchy,Shift+Ctrl+H,Navigate,JavaScript View
Inspect,Shift+Ctrl+I,Run/Debug,Chromium Debug
Inspect,Shift+Ctrl+I,Run/Debug,Debugging Script
Inspect,Shift+Ctrl+I,Run/Debug,Editing PHP source
Toggle Insert Mode,Shift+Ctrl+Insert,Edit,Editing Text
Incremental Find Reverse,Shift+Ctrl+J,Edit,Editing Text
Find Previous,Shift+Ctrl+K,Edit,Editing Text
Show Key Assist,Shift+Ctrl+L,Window,In Dialogs and Windows
Select Previous Word,Shift+Ctrl+Left,Text Editing,Editing Text
Opens a method in a PHP editor,Shift+Ctrl+M,Navigate,DLTK View
Opens a method in a PHP editor,Shift+Ctrl+M,Navigate,Editing PHP source
Add Import,Shift+Ctrl+M,Source,Editing JavaScript Source
Maximize Part,Shift+Ctrl+M,Task Editor,In Tasks Editor
Inspect,Shift+Ctrl+N,Run/Debug,Editing PHP source
Collapse All,Shift+Ctrl+Numpad_Divide,Navigate,In Windows
Collapse All,Shift+Ctrl+Numpad_Divide,Text Editing,Editing Text
Expand All,Shift+Ctrl+Numpad_Multiply,Navigate,In Windows
Reset Structure,Shift+Ctrl+Numpad_Multiply,Text Editing,Editing Text
Quick Outline,Shift+Ctrl+O,Navigate,Task Markup Editor Source Context
Organize Use Statements,Shift+Ctrl+O,Source,Editing PHP source
Organize Imports,Shift+Ctrl+O,Source,JavaScript View
Matching Character,Shift+Ctrl+P,Navigate,Editing in Structured Text Editors
Go to Matching Bracket,Shift+Ctrl+P,Navigate,Editing JavaScript Source
Go to Matching Bracket,Shift+Ctrl+P,Navigate,Editing PHP source
Go to Matching Bracket,Shift+Ctrl+P,Navigate,Editing Script Source
Quick Diff Toggle,Shift+Ctrl+Q,Edit,Editing Text
Open Resource,Shift+Ctrl+R,Navigate,In Windows
Select Next Word,Shift+Ctrl+Right,Text Editing,Editing Text
Save All,Shift+Ctrl+S,File,In Windows
Context Information,Shift+Ctrl+Space,Edit,In Dialogs and Windows
Open Type,Shift+Ctrl+T,Navigate,DLTK View
Open Type,Shift+Ctrl+T,Navigate,Editing JavaScript Source
Open Type,Shift+Ctrl+T,Navigate,Editing PHP source
Previous Editor,Shift+Ctrl+Tab,Window,In Windows
Show Occurrences in File Quick Menu,Shift+Ctrl+U,Search,JavaScript View
Previous Sibling,Shift+Ctrl+Up,Edit,Editing in Structured Text Editors
Go to Previous Member,Shift+Ctrl+Up,Navigate,Editing JavaScript Source
Go to Previous Member,Shift+Ctrl+Up,Navigate,Editing Script Source
Paste,Shift+Ctrl+V,Terminal view commands,Terminal Control in Focus
Close All,Shift+Ctrl+W,File,In Windows
To Upper Case,Shift+Ctrl+X,Text Editing,Editing Text
To Lower Case,Shift+Ctrl+Y,Text Editing,Editing Text
Redo,Shift+Ctrl+Z,Edit,In Dialogs and Windows
Cut,Shift+Delete,Edit,In Dialogs and Windows
Select Line End,Shift+End,Text Editing,Editing Text
Insert Line Below Current Line,Shift+Enter,Text Editing,Editing Text
Open External JSDoc,Shift+F2,Navigate,JavaScript View
Open manual,Shift+F2,Source,Editing PHP source
Use Step Filters,Shift+F5,Run/Debug,In Windows
Select Line Start,Shift+Home,Text Editing,Editing Text
Paste,Shift+Insert,Edit,In Dialogs and Windows
New Subtask,Shift+Insert,Task Repositories,In Tasks View
Paste,Shift+Insert,Terminal view commands,Terminal Control in Focus
